17:50:39 [vbs]> Inicio (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:50:39 [vbs]> Fin (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:51:21 [vbs]> Inicio (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
17:51:21 [vbs]> Fin (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
17:52:20 [vbs]> Inicio (Compra/Venta: V | Session: 917133253 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
17:52:20 [vbs]> Fin (Compra/Venta: V | Session: 917133253 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
17:54:54 [vbs]> Inicio (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:54:54 [vbs]> Fin (Compra/Venta: V | Session: 917133253 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
18:14:05 [vbs]> Inicio (Compra/Venta: C | Session: 920033744 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
18:14:07 [vbs]> Fin (Compra/Venta: C | Session: 920033744 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
18:19:21 [vbs]> Inicio (Compra/Venta: C | Session: 920033744 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
18:19:23 [vbs]> Fin (Compra/Venta: C | Session: 920033744 | PDF: LHT0_0049190_00_05.12.16_EUR_001034700.pdf)
18:24:32 [vbs]> Inicio (Compra/Venta: V | Session: 920033744 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
18:24:33 [vbs]> Fin (Compra/Venta: V | Session: 920033744 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
