9:11:07 [vbs]> Inicio (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:11:11 [vbs]> Fin (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:11:12 [vbs]> Inicio (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
9:11:13 [vbs]> Fin (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
9:11:54 [vbs]> Inicio (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_NoDefinido_00_29.11.16_EUR_002912200.pdf)
9:11:55 [vbs]> Fin (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_NoDefinido_00_29.11.16_EUR_002912200.pdf)
9:12:30 [vbs]> Inicio (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
9:12:31 [vbs]> Fin (Compra/Venta: V | Session: 1030281338 | PDF: LHT0_5251202_00_05.12.16_EUR_001109100.pdf)
9:13:36 [vbs]> Inicio (Compra/Venta: V | Session: 1030281338 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
9:13:37 [vbs]> Fin (Compra/Venta: V | Session: 1030281338 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
9:15:42 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:15:43 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:16:50 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250801_04_27.10.16_EUR_002900700.pdf)
9:16:51 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250801_04_27.10.16_EUR_002900700.pdf)
9:21:08 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
9:21:09 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
9:22:53 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:22:54 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:24:26 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:24:27 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:26:22 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:26:24 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:31:45 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:31:48 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:31:48 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:31:50 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHTM_5250501_01_10.10.16_EUR_001205000.pdf)
9:33:13 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:33:16 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:35:05 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_NoDefinido_00_29.11.16_EUR_002912200.pdf)
9:35:06 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_NoDefinido_00_29.11.16_EUR_002912200.pdf)
9:37:18 [vbs]> Inicio (Compra/Venta: V | Session: 1030281349 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:37:19 [vbs]> Fin (Compra/Venta: V | Session: 1030281349 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:37:30 [vbs]> Inicio (Compra/Venta: V | Session: 1030281349 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:37:31 [vbs]> Fin (Compra/Venta: V | Session: 1030281349 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:38:35 [vbs]> Inicio (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
9:38:37 [vbs]> Fin (Compra/Venta: V | Session: 1030281339 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
16:58:16 [vbs]> Inicio (Compra/Venta: V | Session: 13925874 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
16:58:17 [vbs]> Fin (Compra/Venta: V | Session: 13925874 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:07:39 [vbs]> Inicio (Compra/Venta: V | Session: 13925881 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:07:40 [vbs]> Fin (Compra/Venta: V | Session: 13925881 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:23:16 [vbs]> Inicio (Compra/Venta: V | Session: 13925881 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
17:23:17 [vbs]> Fin (Compra/Venta: V | Session: 13925881 | PDF: LHTM_5251101_01_08.11.16_EUR_002901100.pdf)
17:24:53 [vbs]> Inicio (Compra/Venta: V | Session: 13925881 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
17:24:55 [vbs]> Fin (Compra/Venta: V | Session: 13925881 | PDF: LHMP_5251101_01_08.11.16_EUR_002901100.pdf)
17:35:16 [vbs]> Inicio (Compra/Venta: V | Session: 13925896 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
17:35:17 [vbs]> Fin (Compra/Venta: V | Session: 13925896 | PDF: LHT0_5251201_00_05.12.16_EUR_001109100.pdf)
