11:02:41 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:02:44 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:08:54 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:08:55 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:09:19 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:09:20 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:19:47 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254101_00_01.12.16_EUR_002901100.pdf)
11:19:48 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254101_00_01.12.16_EUR_002901100.pdf)
11:22:51 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:22:52 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:26:49 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:26:51 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254001_00_01.12.16_EUR_002901100.pdf)
11:28:36 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:28:37 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254201_00_01.12.16_EUR_002901100.pdf)
11:30:53 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:30:54 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:32:21 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254702_00_02.12.16_EUR_002901100.pdf)
11:32:22 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254702_00_02.12.16_EUR_002901100.pdf)
11:38:17 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254801_00_02.12.16_EUR_002901100.pdf)
11:38:18 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254801_00_02.12.16_EUR_002901100.pdf)
11:39:38 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254802_00_02.12.16_EUR_002901100.pdf)
11:39:39 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254802_00_02.12.16_EUR_002901100.pdf)
11:39:49 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:39:50 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:40:23 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254901_00_02.12.16_EUR_002901100.pdf)
11:40:24 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254901_00_02.12.16_EUR_002901100.pdf)
11:41:03 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254902_00_02.12.16_EUR_002901100.pdf)
11:41:03 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254902_00_02.12.16_EUR_002901100.pdf)
11:47:39 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:47:40 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5254701_00_02.12.16_EUR_002901100.pdf)
11:48:14 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255001_00_02.12.16_EUR_002901100.pdf)
11:48:15 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255001_00_02.12.16_EUR_002901100.pdf)
11:48:24 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255002_00_02.12.16_EUR_002901100.pdf)
11:48:24 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255002_00_02.12.16_EUR_002901100.pdf)
11:55:50 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255101_00_02.12.16_EUR_002901100.pdf)
11:55:51 [vbs]> Fin (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255101_00_02.12.16_EUR_002901100.pdf)
11:55:58 [vbs]> Inicio (Compra/Venta: V | Session: 168776359 | PDF: LHT0_5255102_00_02.12.16_EUR_002901100.pdf)
